,respondent_id,as_of_year,agency_abbr,loan_type_name,loan_amount_000s,owner_occupancy_name,loan_purpose_name,property_type_name,preapproval_name,msamd_name,state_abbr,county_name,applicant_ethnicity_name,co_applicant_ethnicity_name,applicant_race_name_1,co_applicant_race_name_1,applicant_sex_name,co_applicant_sex_name,applicant_income_000s,purchaser_type_name,denial_reason_name_1,hoepa_status_name,lien_status_name,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,action_taken_name
21586,0000451965,2011,CFPB,Conventional,338,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Hudson County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,88.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,2837.0,73.94999694824219,67400.0,114.98999786376952,221.0,809.0,Loan originated
167108,0000480228,2011,CFPB,Conventional,335,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,Riverside County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,145.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,5258.0,59.2400016784668,62500.0,86.9000015258789,1340.0,2469.0,Application denied by financial institution
1541,20-3708208,2011,HUD,Conventional,313,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Bergen County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,587.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,7202.0,13.59000015258789,67400.0,256.6300048828125,2125.0,2233.0,Loan originated
70680,0000619877,2011,CFPB,VA-guaranteed,265,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,,NC,Carteret County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,77.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,6120.0,5.78000020980835,49500.0,123.18000030517578,2172.0,2875.0,Loan originated
172554,0000915878,2011,CFPB,Conventional,130,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Cuyahoga County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,64.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,3925.0,5.150000095367432,62800.0,115.86000061035156,955.0,1403.0,Application denied by financial institution
42074,0000017943,2011,FDIC,Conventional,147,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Middlesex County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,75.0,Affiliate institution,,Not a HOEPA loan,Secured by a first lien,4203.0,3.0899999141693115,86500.0,107.97000122070312,1385.0,1704.0,Loan originated
115184,0000451965,2011,CFPB,Conventional,65,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,Riverside County,Hispanic or Latino,No co-applicant,American Indian or Alaska Native,No co-applicant,Female,No co-applicant,17.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,2444.0,49.349998474121094,62500.0,84.58000183105469,589.0,920.0,Application denied by financial institution
177355,0000491822,2011,FRS,Conventional,10,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,,WV,Nicholas County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,24.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6255.0,1.8500000238418581,44800.0,116.6999969482422,2028.0,2787.0,Application denied by financial institution
53612,0000451965,2011,CFPB,FHA-insured,146,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Phoenix, Mesa, Glendale - AZ",AZ,Maricopa County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,88.0,Ginnie Mae (GNMA),,Not a HOEPA loan,Secured by a first lien,4392.0,28.51000022888184,65500.0,100.01000213623048,1474.0,1616.0,Loan originated
121697,0000722777,2011,CFPB,Conventional,15,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,"Newark, Union - NJ, PA",NJ,Union County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,120.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a subordinate lien,3672.0,6.920000076293945,90600.0,131.28999328613278,1181.0,1256.0,Application denied by financial institution
61659,0002777650,2011,CFPB,Conventional,900,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NY,New York County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,224.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,5805.0,42.18999862670898,67400.0,112.31999969482422,178.0,165.0,Loan originated
123304,0000476810,2011,CFPB,FHA-insured,109,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Richmond - VA,VA,Chesterfield County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,70.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,1585.0,51.36000061035156,74600.0,100.2300033569336,489.0,601.0,Application denied by financial institution
189381,0000480228,2011,CFPB,Conventional,46,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,NC,Rowan County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,29.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,3893.0,22.450000762939453,49500.0,146.6199951171875,837.0,1256.0,Application denied by financial institution
97092,0000702738,2011,OCC,Conventional,54,Owner-occupied as a principal dwelling,Home purchase,Manufactured housing,Not applicable,,SC,Georgetown County,Not Hispanic or Latino,No co-applicant,Black or African American,No co-applicant,Female,No co-applicant,35.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6877.0,68.51999664306639,47700.0,74.58999633789062,1647.0,2679.0,Loan originated
153681,0000451965,2011,CFPB,Conventional,248,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Stockton - CA,CA,San Joaquin County,Hispanic or Latino,No co-applicant,American Indian or Alaska Native,No co-applicant,Male,No co-applicant,89.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,6810.0,29.1200008392334,65400.0,136.77999877929688,1636.0,2240.0,Application denied by financial institution
164394,0000451965,2011,CFPB,Conventional,121,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Columbus - OH,OH,Franklin County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,78.0,Loan was not originated or was not sold in calendar year covered by register,Other,Not a HOEPA loan,Secured by a first lien,5803.0,8.369999885559082,66600.0,120.91999816894531,1674.0,2058.0,Application denied by financial institution
119896,0000852218,2011,CFPB,Conventional,154,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Spokane - WA,WA,Spokane County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,75.0,Loan was not originated or was not sold in calendar year covered by register,Credit application incomplete,Not a HOEPA loan,Secured by a first lien,3517.0,5.96999979019165,62100.0,175.6199951171875,1181.0,1413.0,Application denied by financial institution
69669,0000451965,2011,CFPB,Conventional,196,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Vallejo, Fairfield - CA",CA,Solano County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,127.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5733.0,23.649999618530273,81500.0,84.5199966430664,1497.0,2172.0,Loan originated
129065,0000617677,2011,CFPB,Conventional,10,Owner-occupied as a principal dwelling,Home improvement,One-to-four family dwelling (other than manufactured housing),Not applicable,Jacksonville - FL,FL,Clay County,Not Hispanic or Latino,Not Hispanic or Latino,White,"Information not provided by applicant in mail, Internet, or telephone application",Male,Female,108.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Not secured by a lien,7704.0,8.5,66400.0,113.37000274658205,2297.0,2766.0,Application denied by financial institution
32611,36-4485107,2011,HUD,Conventional,211,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Dallas, Plano, Irving - TX",TX,Collin County,Not Hispanic or Latino,No co-applicant,Asian,No co-applicant,Male,No co-applicant,96.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,10292.0,10.93000030517578,69600.0,184.8000030517578,2971.0,3231.0,Loan originated
9933,20-0640473,2011,HUD,Conventional,160,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Phoenix, Mesa, Glendale - AZ",AZ,Maricopa County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,124.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,3177.0,8.5,65500.0,146.97999572753906,923.0,995.0,Loan originated
37950,0000619877,2011,CFPB,VA-guaranteed,128,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Augusta, Richmond County - GA, SC",GA,Columbia County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,28.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,7749.0,16.389999389648438,57100.0,140.41999816894528,2356.0,2804.0,Loan originated
46970,83-0310268,2011,HUD,FHA-insured,128,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Knoxville - TN,TN,Knox County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,41.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,10658.0,12.010000228881836,61300.0,98.77999877929688,2668.0,3667.0,Loan originated
155493,0000451965,2011,CFPB,Conventional,3,Owner-occupied as a principal dwelling,Home improvement,Manufactured housing,Not applicable,,NM,Curry County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,18.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Not secured by a lien,8395.0,29.43000030517578,47100.0,110.26000213623048,2121.0,3346.0,Application denied by financial institution
116736,0003284070,2011,CFPB,Conventional,200,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New York, White Plains, Wayne - NY, NJ",NJ,Bergen County,Hispanic or Latino,Hispanic or Latino,White,White,Male,Female,56.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,6265.0,21.440000534057614,67400.0,155.0800018310547,1792.0,2066.0,Application denied by financial institution
65282,0000146672,2011,CFPB,Conventional,134,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,WI,Green County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,97.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,4245.0,3.109999895095825,59100.0,107.91999816894531,1046.0,1519.0,Loan originated
54053,27-2371197,2011,CFPB,Conventional,172,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Green Bay - WI,WI,Brown County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,104.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,8752.0,2.700000047683716,67600.0,112.48999786376952,2432.0,2908.0,Loan originated
99732,13-3098068,2011,CFPB,Conventional,100,Not owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Dover - DE,DE,Kent County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,122.0,Private securitization,,Not a HOEPA loan,Secured by a first lien,3789.0,24.1200008392334,62400.0,105.69000244140624,1115.0,1572.0,Loan originated
144057,0000915878,2011,CFPB,Conventional,132,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Cuyahoga County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,70.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,3237.0,2.970000028610229,62800.0,129.52999877929688,1167.0,1250.0,Application denied by financial institution
183655,0000032158,2011,FDIC,Conventional,97,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,,OR,Klamath County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Female,Male,40.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,2560.0,18.979999542236328,52700.0,73.43000030517578,447.0,931.0,Application denied by financial institution
52854,7527300003,2011,HUD,FHA-insured,275,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Cleveland, Elyria, Mentor - OH",OH,Lorain County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,118.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,3564.0,5.130000114440918,62800.0,131.94999694824222,1227.0,1354.0,Loan originated
103657,7811300008,2011,HUD,FHA-insured,556,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Newark, Union - NJ, PA",NJ,Hunterdon County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,328.0,Loan was not originated or was not sold in calendar year covered by register,Mortgage insurance denied,Not a HOEPA loan,Secured by a first lien,3389.0,8.170000076293945,90600.0,158.97000122070312,1029.0,1058.0,Application denied by financial institution
13787,0000504713,2011,CFPB,FHA-insured,118,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,,WI,Portage County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,60.0,Ginnie Mae (GNMA),,Not a HOEPA loan,Secured by a first lien,5197.0,6.46999979019165,59100.0,121.73999786376952,1400.0,1970.0,Loan originated
30883,0000480228,2011,CFPB,Conventional,121,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Lansing, East Lansing - MI",MI,Eaton County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,78.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,8839.0,16.25,67800.0,110.73999786376952,2818.0,3151.0,Loan originated
150024,0000012311,2011,CFPB,Conventional,108,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Kalamazoo, Portage - MI",MI,Kalamazoo County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,62.0,Loan was not originated or was not sold in calendar year covered by register,Credit history,Not a HOEPA loan,Secured by a first lien,4024.0,17.149999618530273,62400.0,89.05000305175781,1430.0,1679.0,Application denied by financial institution
110779,0003228001,2011,FRS,FHA-insured,271,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Indianapolis, Carmel - IN",IN,Marion County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,55.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,3247.0,3.390000104904175,66000.0,140.1199951171875,976.0,1001.0,Application denied by financial institution
182365,0002933616,2011,CFPB,Conventional,700,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"New Haven, Milford - CT",CT,New Haven County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,354.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,5046.0,3.1700000762939453,81400.0,151.7899932861328,1735.0,2882.0,Application denied by financial institution
98493,0000451965,2011,CFPB,Conventional,117,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Salem - OR,OR,Marion County,Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,71.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,2701.0,10.59000015258789,59200.0,87.27999877929688,788.0,1609.0,Loan originated
81092,22-3039688,2011,HUD,Conventional,417,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Oakland, Fremont, Hayward - CA",CA,Alameda County,Not Hispanic or Latino,Not Hispanic or Latino,Asian,Asian,Male,Female,288.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,5622.0,52.41999816894531,92300.0,128.94999694824222,1329.0,1569.0,Loan originated
51475,26-0021318,2011,HUD,Conventional,320,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Baltimore, Towson - MD",MD,Baltimore County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,98.0,"Commercial bank, savings bank or savings association",,Not a HOEPA loan,Secured by a first lien,1908.0,46.59000015258789,84500.0,92.04000091552734,482.0,720.0,Loan originated
37453,0000024694,2011,NCUA,Conventional,101,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Ogden, Clearfield - UT",UT,Davis County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,23.0,Fannie Mae (FNMA),,Not a HOEPA loan,Secured by a first lien,4271.0,15.199999809265135,70600.0,107.58999633789062,1042.0,1191.0,Loan originated
77037,31-1197926,2011,CFPB,Conventional,356,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Lansing, East Lansing - MI",MI,Clinton County,Not Hispanic or Latino,Not Hispanic or Latino,White,White,Male,Female,150.0,Freddie Mac (FHLMC),,Not a HOEPA loan,Secured by a first lien,9619.0,5.829999923706055,67800.0,142.35000610351562,2654.0,2937.0,Loan originated
151281,0000451965,2011,CFPB,FSA/RHS-guaranteed,138,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,"Chattanooga - TN, GA",GA,Catoosa County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,45.0,Loan was not originated or was not sold in calendar year covered by register,Debt-to-income ratio,Not a HOEPA loan,Secured by a first lien,11307.0,3.359999895095825,57000.0,111.0199966430664,3429.0,4206.0,Application denied by financial institution
95644,95-4866828,2011,HUD,Conventional,240,Owner-occupied as a principal dwelling,Home purchase,One-to-four family dwelling (other than manufactured housing),Not applicable,"Riverside, San Bernardino, Ontario - CA",CA,Riverside County,Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,62.0,Other type of purchaser,,Not a HOEPA loan,Secured by a first lien,4514.0,49.4000015258789,62500.0,112.62000274658205,738.0,1210.0,Loan originated
170806,26-4599244,2011,HUD,Conventional,320,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,"Hartford, West Hartford, East Hartford - CT",CT,Hartford County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Male,No co-applicant,298.0,Loan was not originated or was not sold in calendar year covered by register,Collateral,Not a HOEPA loan,Secured by a first lien,5132.0,31.46999931335449,86500.0,100.86000061035156,1145.0,1454.0,Application denied by financial institution
65990,0000476810,2011,CFPB,Conventional,97,Owner-occupied as a principal dwelling,Refinancing,One-to-four family dwelling (other than manufactured housing),Not applicable,Boulder - CO,CO,Boulder County,Not Hispanic or Latino,No co-applicant,White,No co-applicant,Female,No co-applicant,60.0,Loan was not originated or was not sold in calendar year covered by register,,Not a HOEPA loan,Secured by a first lien,3513.0,14.31999969482422,92500.0,95.27999877929688,1000.0,715.0,Loan originated
